,,"('CA-NL', 'kg CO2 eq (short)')","('CA-PE', 'kg CO2 eq (short)')","('CA-NS', 'kg CO2 eq (short)')","('CA-NB', 'kg CO2 eq (short)')","('CA-QC', 'kg CO2 eq (short)')","('CA-ON', 'kg CO2 eq (short)')","('CA-MB', 'kg CO2 eq (short)')","('CA-SK', 'kg CO2 eq (short)')","('CA-AB', 'kg CO2 eq (short)')","('CA-BC', 'kg CO2 eq (short)')","('CA-YT', 'kg CO2 eq (short)')","('CA-NT', 'kg CO2 eq (short)')","('CA-NU', 'kg CO2 eq (short)')"
CA-AB,Canola (including rapeseed),37957.56163587901,7918.865130840526,51182.06039669681,59136.57057889748,799786.9930121942,1356317.5842970663,146387.47652393658,279988.6411302445,2803808.4274619445,1348128.5050875242,11904.320417839364,23921.391450365954,19423.86158656206
CA-AB,Oilseeds (except canola),610.7757666335798,105.93685196205891,681.1443255827836,682.5451321235437,8631.467996621242,17494.324075566954,2691.6514942746044,5156.771258141221,57040.370093484446,16001.248290497915,226.5470257690715,373.2617313789679,278.21520968198485
CA-AB,Wheat,39539.066328103676,4191.233271388133,28525.743727946894,24408.483841769965,564592.7262281325,615462.4183617553,97668.64143920061,285797.0563729154,1597810.9884603259,725720.1409988746,6473.984402962266,11875.969797615775,10319.3293557608
CA-AB,Grains (except wheat),16174.13003189322,2040.702881430062,13004.147022690368,11691.383489847056,139868.25170579934,278649.47302895546,65376.701711028516,96624.47878461279,1010775.7864755018,573378.1206865135,4681.40941836262,6796.93996665025,6567.180223727507
CA-AB,Fresh potatoes,4555.109947436938,649.141292185217,3932.0651761434597,3272.801778531162,50477.15937531557,172495.97334911407,14967.491671400063,30039.98062852495,381674.25463725993,71817.53901456835,1129.0086443518192,1821.1072350395618,1970.2209252681228
CA-AB,Fresh fruit and nuts,253.90951756263868,25.93760287628846,157.21469123265882,146.40042118902784,1866.9769938053228,3976.8812160923867,841.2877310475609,2073.4833223615165,36352.39866639533,3294.3298122951137,89.15388447959117,115.40095280287251,116.68841901817775
CA-AB,Other miscellaneous crop products,24142.96896587333,1566.628874827082,13649.692752883966,9349.315402843133,134894.92483711214,235236.1940160906,35582.730349237536,62555.418598039025,897631.4024733144,244865.74671318012,4963.508339305402,9165.81779347326,4696.766682693131
CA-AB,Fresh vegetables (except potatoes),13657.162098101207,3802.336366163482,14658.370423096823,21561.174625135514,384289.3167373135,223012.70542112787,41719.3459352697,307097.3735940321,2393009.7128707124,895707.3725465413,5981.3604655078425,110298.21689122163,74593.54707745444
CA-AB,Imputed feed (animal feed produced for own consumption),115002.45029678312,21362.470009939316,154769.76158038576,150974.38429632265,2024774.5468609948,3467656.1681416812,507920.9068281816,749251.8525046036,9340790.225827621,3007647.045287609,55267.56269734001,92671.3751957565,50160.124466051064
CA-AB,"Floriculture and nursery products (except cannabis), and sod",442.94635328010276,163.49080324578588,4726.093530479501,587.4096922216625,9627.966230398444,26211.29626621316,13003.08384515905,9851719.867605036,26955667.709828876,24711383.589790124,5027.3573833967475,4849212.734797579,3198941.6132546063
CA-AB,"Cannabis plants, seeds and flowering tops",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-AB,Cattle and calves,675703.8425348545,138020.35287540665,1019179.3349624289,1006960.3621235914,14127294.903217632,23438652.037418302,2610479.2378836637,4237810.45541983,40485737.05926243,17654438.289986324,190969.91682650035,270951.5825700099,245319.92247569314
CA-AB,Unprocessed milk,95020.24242728927,13716.323838697894,121056.51392516342,147119.95677456062,1221693.7088709653,2819408.8373233397,320861.0404296008,412305.4114015662,3731301.660996975,2632746.0246949014,18535.42427222889,19570.514216774114,26270.046200795114
CA-AB,Hogs,64066.40100910275,17579.62663597663,80145.35708504835,71273.41170861095,791909.5276589943,1324634.9579551606,703810.01102922,306304.4520403913,2084853.65847578,1060742.133626447,11359.631348206034,16973.76655540341,15934.08741445212
CA-AB,Eggs in shell,17477.059023400845,1820.6080347161317,10531.758507446506,9818.448018671657,128855.8381813425,271695.8875334103,110907.47297029903,187096.4248413306,2460275.915463818,287470.213206504,21804.466341347626,7917.7173679531725,8373.852726128867
CA-AB,Poultry,45489.21692651068,9917.481555005576,68627.76830021985,67161.83072258077,933523.2380025304,1238588.7278376957,277845.234618194,287641.2421202993,2580824.755568685,1177520.542048574,11639.142996504219,15814.476886001563,15799.94582096698
CA-AB,Other live animals,4276.549416768069,840.7535549431647,6786.300783335724,6787.307834112691,99250.65760686634,130992.72998799781,17334.053316746642,29209.65713904281,279139.6999628001,123210.88044970758,1171.0178078454614,1527.1272174261119,1623.6134579317372
CA-AB,"Raw furskins, and animal products n.e.c.",9056.015056375629,823.0439889866403,5156.502838526522,4798.4431739045185,112723.41474502461,161430.91601212477,28497.919404105734,91644.64405679927,1238759.8552672819,93769.53616918469,2842.868810642622,5406.100682209765,5376.057344799729
CA-AB,Imputed fertilizer (fertilizer produced for own consumption),13452.983443575376,2139.191628403892,14614.03237105193,14357.336526754212,210291.7261272173,332407.55760736024,49233.41017916249,107159.599397448,1160927.6828419145,392960.79383244563,6241.041870137934,20045.551962896865,11743.209698724693
