lev1_name,lev2_name,gfcfc_Accommodation and food services,"gfcfc_Administrative and support, waste management and remediation services",gfcfc_Animal production,"gfcfc_Arts, entertainment and recreation",gfcfc_Beverage and tobacco product manufacturing,gfcfc_Chemical manufacturing,gfcfc_Clothing and leather and allied product manufacturing,gfcfc_Computer and electronic product manufacturing,gfcfc_Construction,gfcfc_Crop production,gfcfc_Defence services,gfcfc_Educational services (private),gfcfc_Educational services (public),"gfcfc_Electrical equipment, appliance and component manufacturing",gfcfc_Fabricated metal product manufacturing,gfcfc_Finance and insurance,"gfcfc_Fishing, hunting and trapping",gfcfc_Food manufacturing,gfcfc_Forestry and logging,gfcfc_Furniture and related product manufacturing,gfcfc_Health care and social assistance,gfcfc_Holding companies,gfcfc_Hospitals,gfcfc_Information and cultural industries,gfcfc_Machinery manufacturing,gfcfc_Mining and quarrying (except oil and gas),gfcfc_Miscellaneous manufacturing,gfcfc_Non-metallic mineral product manufacturing,gfcfc_Non-profit institutions serving households,gfcfc_Nursing and residential care facilities,gfcfc_Oil and gas extraction (except oil sands),gfcfc_Oil sands extraction,gfcfc_Other aboriginal government services,gfcfc_Other federal government services (except defence),gfcfc_Other municipal government services,gfcfc_Other provincial and territorial government services,gfcfc_Other services,gfcfc_Paper manufacturing,gfcfc_Petroleum and coal product manufacturing,gfcfc_Plastics and rubber products manufacturing,gfcfc_Primary metal manufacturing,gfcfc_Printing and related support activities,"gfcfc_Professional, scientific and technical services",gfcfc_Real estate and rental and leasing,gfcfc_Residential structures,gfcfc_Retail trade,gfcfc_Support activities for agriculture and forestry,"gfcfc_Support activities for mining, and oil and gas extraction",gfcfc_Textile and textile product mills,gfcfc_Transportation and warehousing,gfcfc_Transportation equipment manufacturing,gfcfc_Utilities,gfcfc_Wholesale trade,gfcfc_Wood product manufacturing
ConstructionSector,DirectEmissions,37608061.85046869,18696639.795562893,26119319.798835903,57286162.84823387,2539806.236017129,18481276.926750313,296296.09872745926,523904.6267201886,12587890.548502771,41165270.25433805,12595536.99107761,2368379.7510150396,120719446.72355726,411036.6468809039,1348491.4885401905,15762115.800872337,187219.9577053002,13563519.405500622,4845255.025683232,545932.099458313,10682701.173882362,5548532.011997167,55504828.56102563,494113827.428455,3381464.631959931,374415870.46077865,516653.5767794303,1638396.2204133752,26401085.84929029,5573104.874135331,732260792.7673291,242848737.19568372,42311906.781881236,143181569.71840766,1047814735.1946815,545912400.0817133,6371140.786961204,1727443.098058369,24324087.19280873,1865793.1785779197,18479460.830040056,316248.9185654152,12921646.972040592,71697360.10787857,2200232495.9019313,53071080.68195647,741055.7386509373,4637356.990564875,555703.0107385776,914382686.1509467,6410740.00221256,1278334790.3243194,24635189.541101225,4437524.071477848
ConstructionSector,Energy,18604817.2467675,8782644.98423544,11752104.68084822,23196310.618288618,1083170.7152131544,9596405.76206485,121834.71606541928,216844.80186255925,6754642.28684787,17986609.12692066,5278123.51306715,1009998.9686683667,41960265.645551056,205152.0916610528,732227.9262205691,7064493.617705743,139573.33132453868,6372624.118712919,1873498.2367838356,211342.73103032776,5611314.034247611,2353700.3933971697,20289239.733754188,170733403.47166643,1478615.7477391341,160961774.37360546,217570.82045514692,1723327.8610124788,8632741.78326931,2112501.9843253638,337530066.65206367,141996152.93464062,16288077.406326892,42861606.68504804,356152919.71858025,189043050.19987425,2636697.31570904,851246.3069390029,10299981.489415945,796003.5438991312,6083044.906389447,134181.68250905466,5534369.972594937,32581797.28206764,1248662881.0613477,27144784.669704493,249401.83744046942,2621219.865229052,217887.46812340486,317223777.9569805,2204221.8547061435,402303801.8799912,12305800.334011644,2203309.184363165
Materials,Concrete,196453105.19220105,44040639.58340325,83226949.69212492,130200625.72200333,14398344.187306484,92612705.63972446,1061175.7121633838,2673386.58902793,70926163.28165662,144005303.77697864,43391670.788038306,15746144.581486186,635527029.4073694,1333225.8093299933,8181152.219770064,77866167.10958421,1539893.8975759018,63489612.27811382,9058279.473010711,2259587.4673469737,55908542.2342304,22845350.921658847,292124667.2215633,93196282.50321081,14268920.120015312,404560621.0290543,2223173.518792797,5660862.138618728,81694411.42806362,32424022.384048022,152233061.24217358,42104603.37427811,90585105.5817099,277623891.440825,1544468176.3100567,784106802.2624464,30739620.647342194,8387784.07674173,13580921.73270027,6725126.13579867,45928250.443117484,1239147.8321889292,53450155.970843635,358370395.74810165,4683181174.732766,232038184.44342592,2409067.6283610696,8841858.9474819,3387747.0481326473,1141540683.8400338,24925890.19667105,718831557.4814893,84677892.92542258,24136495.997686747
Materials,EarthworkAndLandscaping_Materials,37687867.32102673,3875395.252752285,13182135.393510817,15445794.017883973,2579000.92559256,20837954.536772422,219220.44931330511,387297.8876169692,13851892.438303491,25178561.496238466,4782259.1416268945,2900100.5672765304,112992559.86321662,177562.9466700265,1355078.493539004,12851531.274449687,272945.72357184434,13900735.55898454,1112149.3475084053,324598.05342599,10958099.672457715,3955091.433866442,53931058.073388,12058041.534256993,2445619.4304518923,20902843.0491308,377558.49962978595,1007887.1065557211,11088891.016202243,6063777.381332462,10134696.602455197,3978330.710385909,13035616.42220487,25625231.85866477,142171023.39784962,95712051.1379668,5410471.601799794,932679.7651346177,779343.7088331794,927483.5592855132,6179605.649403505,183632.48682436504,9162811.086016256,61449164.47861249,401728802.8413532,42818534.597765796,408586.7941885746,1332837.1830676002,511272.9916012139,128909672.92813532,3196854.241955133,10121082.629547028,16918431.385955058,4623171.728127846
Materials,Energy,527987.0393433514,87459.7913964665,206975.1629060769,635037.7689362051,39056.801384500446,279894.37295315065,3728.348233728479,7915.852660785083,195046.75062955925,397075.05233577435,174290.06232951293,37075.29328861364,1672599.7778672054,3548.6364557210795,19392.263303090276,242661.2923929649,1647.9186937116106,182476.78517167782,162271.3134750667,7314.304119859092,162971.37182606477,73800.20763219823,849736.9724026951,1191692.1943467834,45780.121292203854,387741.1602323461,5931.4831497661135,25598.33157650652,316086.82883840415,64730.82713091584,21668528.355369933,7581040.313883412,304735.5958727689,2180811.8093295014,15140250.225695098,10903189.804075694,104632.90120690982,28549.85202065589,493580.1742853004,15772.55422591613,89995.20942250035,4168.788761864162,163255.56297003786,1085561.6606879828,30289983.288264047,775576.5404955383,10099.96302795558,16732.968665967426,7099.634958445034,19489416.01162708,66732.92771568114,3985549.005041827,362717.6584548107,78516.32487486448
Materials,ExteriorImprovements,10457122.210716287,1886275.7046242834,3966855.782945139,18232426.435208492,836076.2651937286,5920130.241539827,59340.409034107135,135873.49184808228,3773613.823396466,7920844.250446966,5914353.231793255,692970.7988433877,33671121.88629879,56959.84321631701,415382.3047014202,4180119.9765553083,58143.81455800943,3691125.3018524786,3747123.9121240703,118718.83130892315,3167872.3268682705,1349996.2983489886,19994426.370754384,4969406.624615966,801054.7809891109,15098672.658929922,114134.80630439222,369764.53914740676,11093556.275189698,1667447.639812794,127938081.69463602,47943984.047016904,12728415.58445705,88454184.17232525,576200492.1831329,497155102.15279377,2569006.0008261767,947055.2076845051,3218957.3229257236,288441.04479221953,1972557.0759289186,62909.28324549504,2865775.4403904704,19001216.608642098,1034970595.2963612,13861674.898098202,490230.37499260606,534106.3361410416,165814.8200449273,542878653.0270451,1215023.3111169091,16929688.873653986,7784626.328295513,1752662.726469883
Materials,Finishes,14600457.661456533,1921502.8280738762,5581940.607991438,6905084.844955159,963432.2468722702,8295139.180297968,107682.81760114842,200583.18277308924,5481102.554567071,11252661.86331687,2359795.2628105,1048142.3965034643,49074181.35951463,76043.54751509827,493912.28457931656,6380337.354242287,78460.06667013507,5733725.685291541,132135.03944867823,189167.56275441695,4503316.642718028,2016470.4923191124,20948519.202186875,17120936.70824121,1187382.5076322935,6105196.318836605,161150.9606324183,483745.6787655491,15956214.03791737,2022458.1371773523,3670319.580226027,1561551.0711705983,13078517.423800645,8512502.733787566,42385666.91049017,23784986.94138786,2102913.705535669,287473.85986728274,483763.61898332235,400387.39022925723,2117880.943629856,102291.16104425525,4269974.060146431,29494407.446525168,1470506095.306211,17806766.50838897,191158.85771027504,495006.75059495115,192815.14596716376,30712573.73933616,1703133.4600063178,15152950.493481716,6877308.87925917,1348289.5928177652
Materials,MEP,62485211.6289446,11522234.503607623,25745049.47066222,38054883.80193862,4091644.1847641515,34261639.864073224,455124.93007141235,876387.1587702124,22964511.74568305,49001577.835427254,10270859.631145457,4233610.275503374,208934773.02793273,390132.4206097929,2342169.256827119,26563066.59723939,333891.7831154062,23484897.498856805,1402021.738993862,807446.9625742623,18685180.237208106,8596245.83089327,90548626.03731167,639030271.4299152,5127078.703347676,130977346.80394584,723968.3771204886,2098145.7265010853,33089378.869914662,9945767.031554934,422352202.78484493,155690298.76323012,33906389.10716237,54157729.71444345,341940424.13410145,158053402.53021783,9102371.557950523,1595415.9938249053,10328152.58183814,1998411.0448697924,13894807.490473438,466933.1951730297,19687834.31608758,123156260.15344144,2320272648.061683,77004744.38669021,792677.5977140092,3978835.1200548112,975014.3236439459,352500536.0825949,7899082.755154322,807922949.7407327,30454880.717145838,6449502.075895316
Materials,Masonry,12961762.990031978,2335656.603961752,4925728.523243431,11684237.804134922,908478.9342190011,7116025.563643367,88499.66339540984,140150.76250389952,4722701.607028958,9865662.145862628,3561008.3288862947,962646.2156508027,39754219.59941219,68335.35373372085,437747.05190685176,4775002.612528175,75946.25107270072,5025841.837320414,2540366.5925310203,131168.49465667456,3862480.840613696,1530413.3631668796,20922662.420879714,11015642.928112924,963259.3706071244,19388053.079990022,137331.545663742,401437.93512892217,7027409.173265946,1906129.4341069611,15027365.305565065,6527255.5283269575,9090780.132516077,28454170.39665724,241464632.62175754,161087193.85567278,2233479.4112824593,585485.2555120509,591169.2817866735,345180.6641896474,2394946.5074066487,74248.07742864598,3407229.2219513557,22333398.83274234,473367547.2406562,15637551.26637805,184185.91762458428,748233.7830131253,160132.30742844392,181954727.22628203,1229033.4147080723,39587301.39796395,6836103.037588541,1779237.210477578
Materials,Metals,104777698.59371313,26807692.096921243,46834740.38891467,77278260.61210214,6912042.378213592,56623712.494413845,768462.52233912,1431247.0908491942,37940741.77611023,87586142.33026806,20127686.510157444,7178374.202043305,342800286.03071266,702557.2450968876,3820346.9354521153,44140586.487877965,643193.2840403074,39744907.50163116,3610158.2396398126,1359375.09751121,31103349.28024875,15247948.35661705,153273300.17982665,218685934.74798483,8560684.522729859,317483909.8087403,1236594.3069162786,3592431.855017231,50015539.25818968,15768700.837159308,1293507551.9497378,483621516.68792135,64561222.228670605,117915623.07362844,857888753.8441992,369052731.0981923,15507208.74633277,3029358.770396252,48587435.28778002,3538434.041614051,24629820.932570294,745306.2597793527,30522339.538533192,203612485.89045727,3253567499.7412624,136829006.43457484,1385764.5278568338,7791773.735402433,1577823.1904871683,962537277.9125937,13532742.352509579,1072506161.9373816,57086098.550113134,11974994.08417911
