,,"('CA-NL', 'kg CO2 eq (short)')","('CA-PE', 'kg CO2 eq (short)')","('CA-NS', 'kg CO2 eq (short)')","('CA-NB', 'kg CO2 eq (short)')","('CA-QC', 'kg CO2 eq (short)')","('CA-ON', 'kg CO2 eq (short)')","('CA-MB', 'kg CO2 eq (short)')","('CA-SK', 'kg CO2 eq (short)')","('CA-AB', 'kg CO2 eq (short)')","('CA-BC', 'kg CO2 eq (short)')","('CA-YT', 'kg CO2 eq (short)')","('CA-NT', 'kg CO2 eq (short)')","('CA-NU', 'kg CO2 eq (short)')"
CA-AB,Canola (including rapeseed),8134.061117125369,5298.022157316972,34404.682725792874,25269.33265019411,459137.31155184517,864186.3657975367,66285.28822388085,53732.17089150056,896373.435193238,818596.6911554683,3851.3199705002303,2764.209088164333,528.1357718817044
CA-AB,Oilseeds (except canola),116.81258252183935,70.37338404865665,446.1147539980103,301.8528309998111,4988.365736970832,11134.824688090628,1170.1901822193909,968.6231861854288,16411.398352311753,9353.525524922079,69.29223593726294,55.64730918446134,7.662396640722689
CA-AB,Wheat,4782.514922981862,2658.1073350756465,18533.17615556634,10928.658721921553,304263.72778161266,381414.09493074886,43866.075217104444,52005.78339928002,485231.66314457025,403383.0357442561,1938.5806544414886,1726.1442420831634,377.0791635194748
CA-AB,Grains (except wheat),2146.384495081113,1304.741933013381,8335.597896240379,4989.0197567609675,78005.73944722358,173814.71248319128,25253.24307118625,19781.522652729665,296629.43962402403,304759.17385314975,1322.478466458221,940.7539118492554,183.90257179396758
CA-AB,Fresh potatoes,908.359628030099,434.81644161149774,2556.150899155827,1459.9119518932068,29265.540540834634,114681.48808925976,6499.70273541503,6189.640665263283,128908.11474441763,44381.79863740435,371.20159167069585,255.31663016200253,51.94812032300728
CA-AB,Fresh fruit and nuts,45.518202959347086,17.232061129532422,98.92618599434319,63.30381352295871,1049.8694723618923,2491.584922067675,358.3507014164054,364.9317497173896,13014.652695517996,1854.7909446228698,30.826694170987423,15.881668083276434,2.905257214697049
CA-AB,Other miscellaneous crop products,5981.539894963827,1035.9228788509727,8851.052325214834,4362.844449338295,80039.65120464827,153829.1719430682,16115.19317707805,12969.854095885272,301245.1943806747,148035.9682652509,1672.7292704072966,1818.8223599533026,131.40271261217345
CA-AB,Fresh vegetables (except potatoes),2594.8848763224837,2213.088788427353,8400.728301831632,6214.3233715469405,190064.35835894922,140963.8187277221,18041.179908499525,76551.08890467536,735492.2425045402,348999.7509383469,1974.4188766668099,1763.062135576281,824.8522456591002
CA-AB,Imputed feed (animal feed produced for own consumption),24623.825459905394,14436.369469263194,101065.02582946199,72650.64337013706,1221695.104105262,2288601.5347658154,233549.82900584288,166206.7178477928,3061944.944597647,1881053.7975540326,19131.127981978385,19466.293885016792,1490.0364381607253
CA-AB,"Floriculture and nursery products (except cannabis), and sod",132.9274656093275,130.95370475998166,2570.239111757625,332.2255988412217,7471.77147218838,21590.807381213166,10674.559902158686,2753899.2832397847,4911965.590114892,7393432.643901717,916.3482070142979,40549.94426236269,31311.046691425752
