country_province,commodity,lev1,lev1_name,lev2,lev2_name,LCA
CA-AB,Canola (including rapeseed),6,Other,06 01,Other,A1-A3
CA-AB,Oilseeds (except canola),6,Other,06 01,Other,A1-A3
CA-AB,Wheat,6,Other,06 01,Other,A1-A3
CA-AB,Grains (except wheat),6,Other,06 01,Other,A1-A3
CA-AB,Fresh potatoes,6,Other,06 01,Other,A1-A3
CA-AB,Fresh fruit and nuts,6,Other,06 01,Other,A1-A3
CA-AB,Other miscellaneous crop products,6,Other,06 01,Other,A1-A3
CA-AB,Fresh vegetables (except potatoes),6,Other,06 01,Other,A1-A3
CA-AB,Imputed feed (animal feed produced for own consumption),6,Other,06 01,Other,A1-A3
CA-AB,"Floriculture and nursery products (except cannabis), and sod",6,Materials,06 01,EarthworkAndLandscaping_Materials,A1-A3
CA-AB,"Cannabis plants, seeds and flowering tops",6,Other,06 01,Other,A1-A3
CA-AB,Cattle and calves,6,Other,06 01,Other,A1-A3
CA-AB,Unprocessed milk,6,Other,06 01,Other,A1-A3
CA-AB,Hogs,6,Other,06 01,Other,A1-A3
CA-AB,Eggs in shell,6,Other,06 01,Other,A1-A3
CA-AB,Poultry,6,Other,06 01,Other,A1-A3
CA-AB,Other live animals,6,Other,06 01,Other,A1-A3
CA-AB,"Raw furskins, and animal products n.e.c.",6,Other,06 01,Other,A1-A3
CA-AB,Imputed fertilizer (fertilizer produced for own consumption),6,Other,06 01,Other,A1-A3
CA-AB,Logs and bolts,4,Materials,04  013,MEP,A1-A3
CA-AB,Pulpwood,4,Materials,04 04,Wood,A1-A3
CA-AB,Fuel wood,4,Materials,04 04,Wood,A1-A3
CA-AB,"Rough untreated poles, posts and piling",4,Materials,04  013,MEP,A1-A3
CA-AB,"Fish, crustaceans, shellfish and other fishery products",6,Other,04  013,Other,A1-A3
CA-AB,Custom work services for forestry,5,Services,05 03,ManufacturingServices,A1-A3
CA-AB,Support services for crop production,5,Services,05 03,ManufacturingServices,A1-A3
CA-AB,"Support services for animal production, hunting and fishing",5,Services,05 03,ManufacturingServices,A1-A3
CA-AB,Support services for forestry,5,Services,05 03,ManufacturingServices,A1-A3
CA-AB,Conventional crude oil,3,Energy,04 11,Energy,A1-A3
CA-AB,Synthetic crude oil,3,Energy,04 11,Energy,A1-A3
CA-AB,Natural gas,1,Energy,01 01,Energy,A1-A3
CA-AB,Natural gas liquids and related products,3,Energy,04 11,Energy,A1-A3
CA-AB,Crude and diluted bitumen,3,Materials,04 11,Asphalt,A1-A3
CA-AB,Coal,3,Energy,04 11,Energy,A1-A3
CA-AB,Iron ores and concentrates,3,Materials,04 03,Metals,A1-A3
CA-AB,Gold and silver ores and concentrates,3,Materials,04 03,Metals,A1-A3
CA-AB,Copper ores and concentrates,3,Materials,04 03,Metals,A1-A3
CA-AB,Nickel ores and concentrates,3,Materials,04 03,Metals,A1-A3
CA-AB,Lead and zinc ores and concentrates,3,Materials,04 03,Metals,A1-A3
CA-AB,Radioactive ores and concentrates,3,Materials,04 03,Metals,A1-A3
CA-AB,Other metal ores and concentrates,3,Materials,04 03,Metals,A1-A3
CA-AB,Stone,3,Materials,04 02,Masonry,A1-A3
CA-AB,"Sand, gravel, clay, and refractory minerals",3,Materials,04 02,Masonry,A1-A3
CA-AB,Uncut and industrial diamonds,3,Other,04 11,Other,A1-A3
CA-AB,Potash,3,Materials,04 11,EarthworkAndLandscaping_Materials,A1-A3
CA-AB,Non-metallic minerals (except diamonds),3,Other,04 11,Other,A1-A3
CA-AB,Support services for oil and gas extraction (except exploration),5,Energy,05 03,Energy,A1-A3
CA-AB,Support services for mining and quarrying (except exploration),5,Services,05 03,ManufacturingServices,A1-A3
CA-AB,Oil and gas and mineral exploration,5,Energy,05 03,Energy,A1-A3
CA-AB,Electricity,1,Energy,01 01,Energy,A1-A3
CA-AB,Natural gas distribution,5,Energy,05 03,Energy,A4
CA-AB,Water delivered by water works and irrigation systems,2,Services,02 01,ManufacturingServices,A1-A3
CA-AB,Sewage and dirty water disposal and cleaning services,5,Services,05 03,ManufacturingServices,0
